id,regioni,tipologia
15221,Sardegna,Fotovoltaici
15252,Emilia Romagna,Metanodotti
15225,Puglia,Fotovoltaici
15825,Sicilia,Raffinerie
15233,Lombardia,Opere stradali
15360,Piemonte,Centrali
15218,Liguria,Opere portuali e vie navigabili
15211,Sardegna,Impianti eolici onshore
15217,Piemonte,Centrali
15214,Sardegna,Impianti eolici onshore
15237,Trentino Alto Adige,Opere stradali
15205,Sardegna,Impianti eolici onshore
15210,Puglia,Fotovoltaici
15198,Sicilia,Fotovoltaici
15191,Puglia,Fotovoltaici
15202,Sicilia,Impianti eolici onshore
15204,Molise,Impianti eolici onshore
15412,Campania,Elettrodotti
15192,Molise,Fotovoltaici
15223,Liguria,Opere stradali
15216,Molise,Impianti eolici onshore
15219,Toscana,Opere ferroviarie
15203,Sicilia,Impianti eolici onshore
15197,Umbria,Opere stradali
15196,Sardegna,Fotovoltaici
15229,Lazio,Impianti di rigassificazione
15178,Lazio,Fotovoltaici
15188,Sicilia,Fotovoltaici
15189,Molise,Impianti eolici onshore
15180,Sardegna,Fotovoltaici
15869,Sicilia,Elettrodotti
15177,Puglia,Fotovoltaici
15176,Molise,Impianti eolici onshore
15176,Campania,Impianti eolici onshore
15171,Puglia,Fotovoltaici
15174,Sardegna,Fotovoltaici
15160,Puglia,Impianti eolici onshore
15157,Puglia,Fotovoltaici
15276,Campania,Centrali
15964,Piemonte,Elettrodotti
15182,Puglia,Opere portuali e vie navigabili
15172,Basilicata,Fotovoltaici
15307,Lazio,Aeroporti
15165,Toscana,Fotovoltaici
15163,Sicilia,Impianti eolici onshore
15158,Puglia,Fotovoltaici
15154,Sardegna,Fotovoltaici
15162,Sicilia,Impianti eolici onshore
15168,Sardegna,Fotovoltaici
15186,Sicilia,Opere stradali
15181,Calabria,Fotovoltaici
15330,Sardegna,Fotovoltaici
15169,Lazio,Opere portuali e vie navigabili
15149,Sicilia,Impianti eolici onshore
15166,Emilia Romagna,Opere idrauliche
15166,Toscana,Opere idrauliche
15147,Sicilia,Impianti eolici onshore
15155,Molise,Impianti eolici onshore
15170,Basilicata,Impianti eolici onshore
15161,Puglia,Impianti eolici onshore
15156,Liguria,Opere stradali
15173,Liguria,Opere stradali
15153,Friuli Venezia Giulia,Fotovoltaici
15151,Basilicata,Impianti eolici onshore
15128,Lazio,Opere stradali
15131,Puglia,Fotovoltaici
15121,Puglia,Fotovoltaici
15141,Piemonte,Fotovoltaici
15135,Campania,Fotovoltaici
15118,Basilicata,Fotovoltaici
15118,Puglia,Fotovoltaici
15164,Abruzzo,Coltivazione idrocarburi
15120,Lazio,Fotovoltaici
15142,Basilicata,Opere stradali
15142,Puglia,Opere stradali
15113,Puglia,Fotovoltaici
15108,Puglia,Metanodotti
15112,Sardegna,Impianti eolici onshore
15116,Sardegna,Opere ferroviarie
15124,Molise,Impianti eolici onshore
15119,Campania,Impianti eolici onshore
15134,Campania,Opere portuali e vie navigabili
15094,Lazio,Fotovoltaici
15114,Sicilia,Opere ferroviarie
15093,Basilicata,Impianti eolici onshore
15123,Friuli Venezia Giulia,Opere portuali e vie navigabili
15095,Sardegna,Fotovoltaici
15092,Sicilia,Fotovoltaici
15122,Sicilia,Fotovoltaici
15125,Puglia,Opere stradali
15291,Umbria,Opere stradali
15130,Sardegna,Impianti eolici offshore
15103,Sardegna,Fotovoltaici
15096,Sicilia,Fotovoltaici
15111,Campania,Opere portuali e vie navigabili
15110,Puglia,Metanodotti
15098,Sardegna,Fotovoltaici
15082,Molise,Impianti eolici onshore
15159,Friuli Venezia Giulia,Opere stradali
15099,Lazio,Fotovoltaici
15079,Puglia,Opere ferroviarie
15143,Marche,Elettrodotti
15088,Puglia,Opere portuali e vie navigabili
15101,Emilia Romagna,Opere stradali
15104,Emilia Romagna,Opere stradali
15084,Umbria,Metanodotti
15084,Toscana,Metanodotti
15074,Sicilia,Fotovoltaici
15059,Sardegna,Fotovoltaici
15077,Puglia,Fotovoltaici
15070,Calabria,Opere portuali e vie navigabili
15073,Lazio,Fotovoltaici
15080,Molise,Fotovoltaici
15071,Toscana,Opere portuali e vie navigabili
15058,Marche,Coltivazione idrocarburi
15045,Puglia,Fotovoltaici
15083,Emilia Romagna,Centrali
15055,Liguria,Impianti di rigassificazione
15060,Sardegna,Fotovoltaici
15046,Puglia,Fotovoltaici
15048,Lazio,Opere idrauliche
15097,Trentino Alto Adige,Opere ferroviarie
15053,Sicilia,Fotovoltaici
15043,Liguria,Opere portuali e vie navigabili
15042,Liguria,Impianti di rigassificazione
15047,Puglia,Metanodotti
15039,Emilia Romagna,Impianti eolici onshore
15066,Sicilia,Elettrodotti
15040,Calabria,Interporti
15032,Emilia Romagna,Opere stradali
15028,Sicilia,Fotovoltaici
15056,Sicilia,Elettrodotti
15022,Puglia,Fotovoltaici
15069,Campania,Opere portuali e vie navigabili
15194,Toscana,Opere idrauliche
15014,Lazio,Fotovoltaici
15011,Sardegna,Impianti eolici onshore
15009,Sardegna,Fotovoltaici
15019,Sardegna,Fotovoltaici
15054,Puglia,Impianti eolici offshore
14988,Puglia,Opere portuali e vie navigabili
15025,Campania,Metanodotti
14986,Liguria,Opere portuali e vie navigabili
14976,Sicilia,Impianti eolici onshore
15038,Marche,Elettrodotti
14973,Puglia,Interporti
15031,Piemonte,Fotovoltaici
14951,Sardegna,Fotovoltaici
14965,Sicilia,Opere portuali e vie navigabili
14975,Calabria,Fotovoltaici
14957,Puglia,Fotovoltaici
14987,Puglia,Fotovoltaici
14985,Lombardia,Opere stradali
14962,Campania,Impianti eolici onshore
14959,Sicilia,Opere portuali e vie navigabili
14949,Sardegna,Impianti eolici onshore
15004,Basilicata,Impianti idroelettrici
14955,Sicilia,Fotovoltaici
15036,Puglia,Fotovoltaici
14950,Sardegna,Fotovoltaici
14952,Puglia,Fotovoltaici
15044,Sicilia,Fotovoltaici
14977,Lombardia,Centrali
14960,Sicilia,Impianti eolici onshore
14974,Puglia,Impianti eolici onshore
14974,Campania,Impianti eolici onshore
15016,Marche,Opere ferroviarie
14929,Puglia,Impianti eolici offshore
14940,Sicilia,Fotovoltaici
14971,Emilia Romagna,Aeroporti
14947,Calabria,Impianti eolici onshore
14937,Marche,Coltivazione idrocarburi
14932,Sardegna,Fotovoltaici
14984,Campania,Opere ferroviarie
14933,Sardegna,Impianti eolici onshore
14978,Lazio,Impianti eolici onshore
15017,Sicilia,Opere ferroviarie
14941,Lazio,Impianti eolici offshore
14954,Sicilia,Fotovoltaici
14961,Sicilia,Fotovoltaici
14930,Puglia,Impianti eolici onshore
14931,Puglia,Impianti eolici onshore
15035,Lombardia,Aeroporti
14981,Nessuna regione,Terminali marittimi
14956,Sardegna,Opere stradali
14966,Emilia Romagna,Opere stradali
14972,Lazio,Fotovoltaici
14958,Molise,Fotovoltaici
15087,Emilia Romagna,Centrali
14945,Calabria,Impianti eolici onshore
14918,Calabria,Impianti eolici onshore
14915,Sicilia,Fotovoltaici
14927,Puglia,Impianti eolici onshore
14942,Sicilia,Fotovoltaici
14920,Basilicata,Fotovoltaici
15007,Sicilia,Fotovoltaici
14924,Basilicata,Impianti eolici onshore
14922,Puglia,Impianti eolici onshore
14912,Calabria,Impianti eolici onshore
15072,Calabria,Metanodotti
14910,Puglia,Fotovoltaici
14970,Toscana,Fotovoltaici
14911,Sicilia,Fotovoltaici
14921,Basilicata,Fotovoltaici
14925,Lazio,Fotovoltaici
15085,Puglia,Impianti eolici onshore
14906,Basilicata,Impianti eolici onshore
14906,Puglia,Impianti eolici onshore
15030,Lombardia,Centrali
15029,Lombardia,Centrali
14935,Abruzzo,Metanodotti
14936,Puglia,Opere stradali
14953,Puglia,Opere stradali
14916,Basilicata,Impianti eolici onshore
14917,Campania,Fotovoltaici
14995,Veneto,Fotovoltaici
14926,Sardegna,Fotovoltaici
14923,Basilicata,Fotovoltaici
14903,Sicilia,Fotovoltaici
15064,Campania,Impianti eolici onshore
14900,Puglia,Impianti eolici onshore
14913,Abruzzo,Fotovoltaici
14883,Sardegna,Fotovoltaici
14919,Basilicata,Fotovoltaici
14897,Liguria,Opere portuali e vie navigabili
14889,Sardegna,Fotovoltaici
14895,Sardegna,Fotovoltaici
15024,Sardegna,Centrali
14907,Lombardia,Opere ferroviarie
